Well Number,Well Name,Bottomhole X,Bottomhole Y,Co [MSTB],Cw (bbl),POROS,KX,KY,TD(MD),Cg (mmcf),P_2020-1-6,P_2029-1-1,RQI,Pressure_Drawdown,OGR,Facies_1,Facies_2,Facies_3,Facies_4,Facies_5
26,PO1_26,12877.11,8537.52,30.609516,10.3796,0.108065853,0.01948881,0.0059057,8599.7,16.89936802,3507.897514,2849.407768,1.2918264575287912,658.4897459999997,1.8112816978584267,False,False,False,True,False
27,PO1_27,14034.61,8537.52,0.0,30.1566,0.116111479,0.033129924,0.010039371,8645.4,0.0,3523.060526,2676.168143,1.5675993068496186,846.8923830000003,,False,False,False,True,False
28,PO1_28,14034.61,5933.16,0.0,37.7757,0.112871918,0.012573315,0.012573315,8647.7,0.0,3523.823653,2694.598799,0.9934339395621135,829.224854,,False,False,False,True,False
29,PO1_29,10272.76,5933.16,87.8501,0.000193931,0.117425837,0.022922126,0.022922126,8519.0,172.6703457,3481.121691,2924.069885,1.289329095569079,557.0518059999999,0.5087735224242387,False,False,False,True,False
30,PO1_30,3617.17,5933.16,46.012,0.000475523,0.186735001,0.053717861,0.053717861,8431.3,442.1972544,3452.023307,2422.837662,1.2411767372588403,1029.185645,0.10405311100909449,True,False,False,False,False
31,PO1_31,5064.04,5933.16,49.817,0.000510682,0.190046003,0.058150879,0.058150879,8435.1,494.7723198,3453.284126,2437.618647,1.2688766392947162,1015.6654790000002,0.10068671590225044,True,False,False,False,False
32,PO1_32,6221.53,5933.16,45.574,0.000401013,0.179688603,0.047166901,0.047166901,8444.3,425.2731868,3456.336637,2471.865885,1.208643272810419,984.4707519999997,0.10716405692755986,True,False,False,False,False
33,PO1_33,2459.67,5933.16,47.893,0.000442358,0.1830338,0.050863119,0.050863119,8440.5,439.12451,3455.075817,2494.312585,1.23216877190418,960.7632319999998,0.10906473883682785,True,False,False,False,False
34,PO1_34,7668.4,5933.16,105.4785,0.00030368,0.171049401,0.03649316,0.03649316,8463.3,326.4594872,3462.640733,2560.229942,1.116822559399332,902.4107910000002,0.3230982836635418,False,True,False,False,False
35,PO1_35,8825.89,5933.16,108.6708,0.000255897,0.162713599,0.03033826,0.03033826,8484.7,246.102413,3469.741137,2584.533276,1.0704625626476392,885.2078609999999,0.4415673892640784,False,True,False,False,False
